,state,month,positiveIncrease,totalTestResultsIncrease,change,population,per_capita
86,IA,6,11923,155774,0.1631060384352746,3156145,0.003777709832723148
87,IA,7,15083,159829,0.26503396796108364,3156145,0.0047789312594953655
88,IA,8,21944,146399,0.4548829808393556,3156145,0.006952785756040993
89,IA,9,24508,142617,0.11684287276704339,3156145,0.007765169217510602
91,ID,4,871,18442,-0.39972432804962094,1754208,0.0004965203670260312
92,ID,5,1075,29086,0.23421354764638347,1754208,0.0006128121636658823
93,ID,6,8003,66898,6.444651162790698,1754208,0.004562172786807494
94,ID,7,15229,86933,0.9029114082219167,1754208,0.008681410642295554
95,ID,8,8648,59367,-0.4321360562085495,1754208,0.0049298600850070234
96,ID,9,13968,64936,0.6151711378353376,1754208,0.007962567722869808
98,IL,4,64690,401421,1.788241886125598,12741080,0.005077277593422222
99,IL,5,45467,679809,-0.2971556654815273,12741080,0.003568535791314394
100,IL,6,23234,850726,-0.4889920161875646,12741080,0.0018235502798820823
101,IL,7,47385,1244108,1.0394680210037015,12741080,0.0037190724805118563
102,IL,8,60816,1487211,0.2834441278885723,12741080,0.004773221736304929
103,IL,9,65804,1693070,0.08201789002893975,12741080,0.005164711311756931
105,IN,4,17526,156043,1.0589755639097744,6691878,0.0026189957437956876
106,IN,5,13856,234830,-0.20940317242953327,6691878,0.0020705697264654255
107,IN,6,12776,304951,-0.0779445727482679,6691878,0.0019091800537905802
108,IN,7,25947,469027,1.030917345021916,6691878,0.003877386886013164
109,IN,8,27908,558074,0.07557713801210159,6691878,0.004170428689823694
110,IN,9,32729,659403,0.1727461659739143,6691878,0.004890854256458351
112,KS,4,6042,43481,3.2549295774647886,2911505,0.002075215395474162
113,KS,5,3579,71524,-0.4076464746772592,2911505,0.0012292611553131455
114,KS,6,9011,102023,1.5177423861413804,2911505,0.003094962914369029
115,KS,7,13827,111868,0.5344578848074576,2911505,0.004749090247140225
116,KS,8,16014,115338,0.15816880017357343,2911505,0.005500248153446414
117,KS,9,19256,121446,0.20244785812414137,2911505,0.006613761611262903
119,KY,4,5032,83926,1.4739429695181907,4468402,0.0011261296544044157
120,KY,5,5365,183656,0.0661764705882353,4468402,0.0012006529403576491
121,KY,6,7778,160417,0.44976700838769806,4468402,0.0017406670214542021
122,KY,7,18075,243227,1.3238621753664181,4468402,0.004045070251065146
123,KY,8,18984,292701,0.05029045643153527,4468402,0.004248498680288837
124,KY,9,25731,611277,0.3554045512010114,4468402,0.00575843444703498
126,LA,4,11971,129166,-0.44235337960590676,4659978,0.002568896248008038
127,LA,5,13130,261744,0.09681730849553087,4659978,0.002817609868544444
128,LA,6,35423,467123,1.6978674790555979,4659978,0.007601538033012173
129,LA,7,54695,660557,0.5440532987042317,4659978,0.011737179875098123
130,LA,8,22145,442287,-0.5951183837645123,4659978,0.004752168357876368
131,LA,9,17327,440424,-0.21756604199593588,4659978,0.00371825789735488
133,MA,4,54073,390675,0.9262940401125717,6902149,0.007834226702437169
134,MA,5,23421,353190,-0.5668633144082998,6902149,0.003393290988067629
135,MA,6,6527,399047,-0.7213184748729773,6902149,0.000945647507754469
136,MA,7,10401,551390,0.5935345487973035,6902149,0.0015069219745908122
137,MA,8,2549,1185593,-0.7549274108258821,6902149,0.0003693052699963446
138,MA,9,15912,1857574,5.242448018830914,6902149,0.0023053689510324975
140,MD,4,26431,134544,1.7981156044886724,6042718,0.004374025066203652
141,MD,5,25798,292004,-0.023949150618591805,6042718,0.004269270881083645
142,MD,6,12559,342163,-0.513179316226064,6042718,0.002078369369545294
143,MD,7,24615,723308,0.9599490405287046,6042718,0.004073498051704548
144,MD,8,17771,674585,-0.2780418444038188,6042718,0.0029408951402332528
145,MD,9,16272,730169,-0.08435090878397389,6042718,0.0026928279625162053
147,ME,4,831,11315,0.13679890560875513,1338404,0.0006208887600455468
148,ME,5,1228,46201,0.4777376654632972,1338404,0.0009175107067821076
149,ME,6,773,55617,-0.3705211726384365,1338404,0.0005775535637968805
150,ME,7,549,79568,-0.2897800776196636,1338404,0.0004101900472503071
151,ME,8,788,128734,0.4353369763205829,1338404,0.0005887609421370527
152,ME,9,913,186625,0.15862944162436549,1338404,0.0006821557616384889
154,MI,4,23423,279405,-0.26539124980398304,9995915,0.0023432572205746047
155,MI,5,9018,429805,-0.6149938095034795,9995915,0.0009021685358468935
156,MI,6,11810,520288,0.30960301618984254,9995915,0.0011814826356566657
157,MI,7,22860,927365,0.9356477561388654,9995915,0.0022869342126258575
