,state,month,positiveIncrease,covid_change,population,covid_percap,weighted_pax,weighted_percap
197,NY,9,32992,0.5876040614022424,19542209,0.0016882431254317258,1807.6480394853797,9.249967797833806e-05
198,OH,4,19077,1.6251548094124124,11689442,0.0016319855130809495,50.850504302244026,4.35012246968196e-06
199,OH,5,14791,-0.22466844891754467,11689442,0.0012653298592011492,191.73320952507822,1.6402255088401844e-05
200,OH,6,26847,0.8150902575890744,11689442,0.002296687900072561,1441.917298811538,0.00012335210686802142
201,OH,7,38562,0.4363616046485641,11689442,0.003298874317525165,2461.756950906881,0.00021059661794864808
202,OH,8,31927,-0.17206057777086248,11689442,0.0027312680964583255,1227.917638317086,0.00010504501740263444
203,OH,9,35181,0.10192000501143239,11689442,0.0030096389545369233,1127.6103459388269,9.646400109935332e-05
204,OK,4,2778,0.2743119266055045,3943079,0.0007045255750645625,27.810416377620275,7.052969615272804e-06
205,OK,5,3269,0.17674586033117357,3943079,0.0008290475539546634,95.31894484547172,2.4173734496689446e-05
206,OK,6,13507,3.1318446007953504,3943079,0.0034254956596101675,501.68098372114935,0.00012723077161810588
207,OK,7,25159,0.8626638039535055,3943079,0.0063805467757556975,862.0936576665488,0.00021863464000253325
208,OK,8,23326,-0.0728566318216145,3943079,0.005915681628493875,495.6537635555535,0.00012570221483149425
209,OK,9,32392,0.3886650090028294,3943079,0.00821490008189032,515.5884734056553,0.00013075783503339785
210,OR,4,1832,0.1788931788931789,4190713,0.0004371571138371919,64.15916773405185,1.5309845301754583e-05
211,OR,5,2119,0.15665938864628814,4190713,0.0005056418800333022,180.98633484968337,4.3187480233001726e-05
212,OR,6,6903,2.2576687116564416,4190713,0.0016472137318876286,967.5174672555503,0.00023087180326010164
213,OR,7,9862,0.42865420831522516,4190713,0.002353298830055888,1736.6566089144542,0.00041440599938827934
214,OR,8,7037,-0.28645305211924554,4190713,0.0016791891976377289,1121.524529936216,0.00026762141190203576
215,OR,9,8443,0.19980105158448191,4190713,0.00201469296513505,1117.1753038187362,0.00026658358704562596
216,PA,4,34291,0.35548264684955333,12807060,0.0026775075622352046,80.92240280391373,6.318577628582495e-06
217,PA,5,19162,-0.44119448251727855,12807060,0.0014962059988787434,299.4317761587647,2.3380211864297092e-05
218,PA,6,17873,-0.06726855234317919,12807060,0.00139555838732699,2033.3552787884637,0.00015876831050908356
219,PA,7,26279,0.47031835729871885,12807060,0.002051915115569069,3814.7405554041625,0.0002978623162071672
220,PA,8,22113,-0.15852962441493212,12807060,0.0017266257829665825,2188.7693657658187,0.00017090334282542744
221,PA,9,30859,0.3955139510695067,12807060,0.002409530368406176,1880.5638421050317,0.00014683805979709877
222,RI,4,8835,1.4699468828627342,1057315,0.008356071747776207,7.798882901190893,7.376120551766402e-06
223,RI,5,3673,-0.5842671194114317,1057315,0.003473893778107754,30.93108598977904,2.9254371677105724e-05
224,RI,6,1484,-0.5959705962428532,1057315,0.0014035552318845377,216.58797102965,0.00020484715626814147
225,RI,7,2747,0.8510781671159029,1057315,0.002598090446082766,285.17850198793667,0.00026971952728178136
226,RI,8,2795,0.017473607571896643,1057315,0.0026434884589739104,159.2339049376575,0.0001506021431055622
