,origin_state,dest_state,month,monthly_pax
152,AK,MN,8.0,4797.261576231528
153,AK,MN,9.0,4414.8605982216895
154,AK,MO,3.0,717.4742323781398
155,AK,MO,4.0,162.44934036920316
156,AK,MO,5.0,527.4384007677545
157,AK,MO,6.0,1190.1122588630426
158,AK,MO,7.0,1951.3817565034649
159,AK,MO,8.0,1958.1054326738667
160,AK,MO,9.0,1770.5128108226684
161,AK,MS,3.0,62.10629913557804
162,AK,MS,4.0,24.848241331258734
163,AK,MS,5.0,54.12094690490443
164,AK,MS,6.0,91.03081176383684
165,AK,MS,7.0,153.20298441810147
166,AK,MS,8.0,175.94343475354722
167,AK,MS,9.0,190.85358082835134
168,AK,MT,3.0,1159.8607069830475
169,AK,MT,4.0,185.4583355848543
170,AK,MT,5.0,733.6240482919525
171,AK,MT,6.0,1490.917616123193
172,AK,MT,7.0,2301.7942929660867
173,AK,MT,8.0,2341.3701754558942
174,AK,MT,9.0,2126.835531578019
175,AK,NC,3.0,599.8890126049835
176,AK,NC,4.0,152.97620848177414
177,AK,NC,5.0,462.62074091097656
178,AK,NC,6.0,874.4030506072488
179,AK,NC,7.0,1661.4526511234467
180,AK,NC,8.0,1737.3437036784492
181,AK,NC,9.0,1791.2036451981046
182,AK,ND,3.0,157.00407353582523
183,AK,ND,4.0,48.09924585646695
184,AK,ND,5.0,160.31880595563337
185,AK,ND,6.0,211.58194818789966
186,AK,ND,7.0,472.311024301849
187,AK,ND,8.0,526.1158774379039
188,AK,ND,9.0,471.573098260247
189,AK,NE,3.0,211.82410287412856
190,AK,NE,4.0,47.63215214183666
191,AK,NE,5.0,147.7152961566387
192,AK,NE,6.0,304.65255170152477
193,AK,NE,7.0,602.0609231307164
194,AK,NE,8.0,609.453667216226
195,AK,NE,9.0,608.4854096530577
196,AK,NH,3.0,10.010679861026619
197,AK,NH,4.0,1.056710213776722
198,AK,NH,5.0,3.0522565320665085
199,AK,NH,6.0,5.8910332541567705
200,AK,NH,7.0,14.179865183317805
201,AK,NH,8.0,13.9272209130268
202,AK,NH,9.0,11.892913903655396
203,AK,NJ,3.0,302.0863959473865
204,AK,NJ,4.0,40.0225495351996
205,AK,NJ,5.0,91.82821491674454
206,AK,NJ,6.0,228.14923554805588
207,AK,NJ,7.0,431.161372122634
208,AK,NJ,8.0,572.4202599464941
209,AK,NJ,9.0,526.4183679308716
210,AK,NM,3.0,355.05914613155437
211,AK,NM,4.0,62.970886812517435
212,AK,NM,5.0,171.56366417638074
213,AK,NM,6.0,395.46544901110184
214,AK,NM,7.0,502.22130618675203
215,AK,NM,8.0,513.1930230760785
216,AK,NM,9.0,604.5856707371693
217,AK,NV,3.0,2897.4544538039086
218,AK,NV,4.0,254.88973998880908
219,AK,NV,5.0,797.0958841302566
220,AK,NV,6.0,1988.0143758809343
221,AK,NV,7.0,3239.5926348586304
222,AK,NV,8.0,3490.08936817591
223,AK,NV,9.0,3410.317996965456
224,AK,NY,3.0,825.6183192924775
225,AK,NY,4.0,106.87835138247084
226,AK,NY,5.0,237.6187410999333
227,AK,NY,6.0,575.5029075175959
228,AK,NY,7.0,1503.5312743797704
229,AK,NY,8.0,1661.964810982189
230,AK,NY,9.0,1624.5039146380414
231,AK,OH,3.0,377.8737344284722
232,AK,OH,4.0,76.90066685235226
233,AK,OH,5.0,217.6442939371136
234,AK,OH,6.0,485.45503921053415
235,AK,OH,7.0,1004.624225367633
236,AK,OH,8.0,989.0931967112468
237,AK,OH,9.0,956.2825779211204
238,AK,OK,3.0,464.44208337699604
239,AK,OK,4.0,82.93180614878183
240,AK,OK,5.0,262.3768606891669
241,AK,OK,6.0,494.69133316205114
242,AK,OK,7.0,926.4503520185544
243,AK,OK,8.0,939.4691504963929
244,AK,OK,9.0,924.0804974850528
245,AK,OR,3.0,4085.356504666104
246,AK,OR,4.0,737.4841149846399
247,AK,OR,5.0,1846.7166659250195
248,AK,OR,6.0,3745.799219090339
249,AK,OR,7.0,6351.087544242403
250,AK,OR,8.0,6696.894585138497
251,AK,OR,9.0,6072.017870619105
252,AK,PA,3.0,567.4560043553907
253,AK,PA,4.0,135.38487463589095
254,AK,PA,5.0,424.13650606569456
255,AK,PA,6.0,780.4786192984143
256,AK,PA,7.0,1968.3604620625363
257,AK,PA,8.0,2145.0322283882424
258,AK,PA,9.0,1956.60730954922
259,AK,PR,3.0,58.03352922127906
260,AK,PR,4.0,5.693563398564746
261,AK,PR,5.0,11.518773420852826
262,AK,PR,6.0,32.78766318058243
263,AK,PR,7.0,125.39705571311285
264,AK,PR,8.0,95.6916436016457
265,AK,PR,9.0,98.91130068524153
266,AK,RI,3.0,26.57823045012693
267,AK,RI,4.0,0.9394892533513067
268,AK,RI,5.0,3.0032576949000225
269,AK,RI,6.0,6.057253051748671
270,AK,RI,7.0,30.685517144512527
271,AK,RI,8.0,30.136418701827694
272,AK,RI,9.0,29.178064153659776
273,AK,SC,3.0,297.5575616515225
274,AK,SC,4.0,53.6427661284987
275,AK,SC,5.0,211.98701718068676
276,AK,SC,6.0,424.3702166908146
277,AK,SC,7.0,595.8430349376038
278,AK,SC,8.0,629.4980373992465
279,AK,SC,9.0,634.6589276631496
280,AK,SD,3.0,129.85419165444296
281,AK,SD,4.0,10.246303940224271
